,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,0,22554,"BIDEN: What is was, it was a tragedy, Martha.",2,38_2012,0,0,1626,1672,,"{""O"": 9, ""Claim"": 4}",O," What is was, it was a tragedy, Martha.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,123.6,125.44,clip_0
1,1,1,22555,It -- Chris Stevens was one of our best.,2,38_2012,1,1,1672,1713,,"{""O"": 3, ""Premise"": 7}",Premise,It -- Chris Stevens was one of our best.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,125.44,128.88,clip_1
2,2,2,22556,We lost three other brave Americans.,2,38_2012,2,2,1713,1750,,"{""Premise"": 6, ""O"": 1}",Premise,We lost three other brave Americans.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,128.88,130.76,clip_2
3,3,3,22557,I can make absolutely two commitments to you and all the American people tonight.,2,38_2012,3,3,1750,1832,,"{""O"": 15}",O,I can make absolutely two commitments to you and all the American people tonight.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,O,130.76,135.24,clip_3
4,4,4,22558,"One, we will find and bring to justice the men who did this.",2,38_2012,4,4,1832,1893,,"{""O"": 3, ""Claim"": 12}",Claim,"One, we will find and bring to justice the men who did this.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,135.24,141.08,clip_4
5,5,5,22559,"And secondly, we will get to the bottom of it, and whatever -- wherever the facts lead us, wherever they lead us, we will make clear to the American public, because whatever mistakes were made will not be made again.",2,38_2012,5,5,1893,2110,,"{""O"": 29, ""Claim"": 17}",O,"And secondly, we will get to the bottom of it, and whatever -- wherever the facts lead us, wherever they lead us, we will make clear to the American public, because whatever mistakes were made will not be made again.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Mixed,141.08,151.6,clip_5
6,6,6,22560,"When you're looking at a president, Martha, it seems to me that you should take a look at his most important responsibility.",2,38_2012,6,6,2111,2236,,"{""Claim"": 25, ""O"": 1}",Claim,"When you're looking at a president, Martha, it seems to me that you should take a look at his most important responsibility.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,151.6,158.28,clip_6
7,7,7,22561,That's caring for the national security of the country.,2,38_2012,7,7,2236,2292,,"{""Claim"": 10, ""O"": 1}",Claim,That's caring for the national security of the country.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,158.28,161.0,clip_7
8,8,8,22562,And the best way to do that is take a look at how he's handled the issues of the day.,2,38_2012,8,8,2292,2378,,"{""O"": 2, ""Claim"": 20}",Claim,And the best way to do that is take a look at how he's handled the issues of the day.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,161.0,165.36,clip_8
9,9,9,22563,"On Iraq, the president said he would end the war.",2,38_2012,9,9,2379,2429,,"{""Premise"": 11, ""O"": 1}",Premise,"On Iraq, the president said he would end the war.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,165.36,168.6,clip_9
10,10,10,22564,"Governor Romney said that was a tragic mistake, we should have left 30,000 -- he ended it.",2,38_2012,10,10,2429,2520,,"{""Premise"": 18, ""O"": 1}",Premise,"Governor Romney said that was a tragic mistake, we should have left 30,000 -- he ended it.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,168.6,173.56,clip_10
11,11,11,22565,"Governor Romney said that was a tragic mistake, we should have left 30,000 troops there.",2,38_2012,11,11,2520,2609,,"{""Premise"": 16, ""O"": 1}",Premise,"Governor Romney said that was a tragic mistake, we should have left 30,000 troops there.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,173.56,177.96,clip_11
12,12,12,22566,"With regard to Afghanistan, he said he will end the war in 2014.",2,38_2012,12,12,2610,2675,,"{""Premise"": 14, ""O"": 1}",Premise,"With regard to Afghanistan, he said he will end the war in 2014.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,177.96,182.04,clip_12
13,13,13,22567,"Governor Romney said we should not set a date, number one.",2,38_2012,13,13,2675,2734,,"{""Premise"": 12, ""O"": 1}",Premise,"Governor Romney said we should not set a date, number one.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,182.04,185.36,clip_13
14,14,14,22568,"And number two, with regard to 2014, it depends.",2,38_2012,14,14,2734,2783,,"{""O"": 2, ""Premise"": 10}",Premise,"And number two, with regard to 2014, it depends.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,185.36,188.96,clip_14
15,15,15,22569,"When it came to Osama bin Laden, the president the first day in office, I was sitting with him in the Oval Office, he called in the CIA and signed an order saying, ""My highest priority is to get bin Laden.""",2,38_2012,15,15,2784,2991,,"{""Premise"": 48}",Premise,"When it came to Osama bin Laden, the president the first day in office, I was sitting with him in the Oval Office, he called in the CIA and signed an order saying, ""My highest priority is to get bin Laden.""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,188.96,199.72,clip_15
16,16,16,22570,"Prior to the election, prior to the -- him being sworn in, Governor Romney was asked the question about how he would proceed.",2,38_2012,16,16,2992,3118,,"{""Premise"": 25, ""O"": 1}",Premise,"Prior to the election, prior to the -- him being sworn in, Governor Romney was asked the question about how he would proceed.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,199.72,206.76,clip_16
17,17,17,22571,"He said, ""I wouldn't move heaven and earth to get bin Laden.""",2,38_2012,17,17,3118,3180,,"{""Premise"": 17}",Premise,"He said, ""I wouldn't move heaven and earth to get bin Laden.""",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,206.76,211.92,clip_17
18,18,18,22572,He didn't understand it was more than about taking a murderer off the battlefield.,2,38_2012,18,18,3180,3263,,"{""Premise"": 15, ""O"": 1}",Premise,He didn't understand it was more than about taking a murderer off the battlefield.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,211.92,214.28,clip_18
19,19,19,22573,"It was about restoring America's heart and letting terrorists around the world know, if you do harm to America, we will track you to the gates of hell if need be.",2,38_2012,19,19,3263,3426,,"{""Premise"": 34, ""O"": 1}",Premise,"It was about restoring America's heart and letting terrorists around the world know, if you do harm to America, we will track you to the gates of hell if need be.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Premise,214.28,224.24,clip_19
20,20,20,22574,"And lastly, the president of the United States has -- has led with a steady hand and clear vision.",2,38_2012,20,20,3427,3526,,"{""O"": 4, ""Claim"": 17}",Claim,"And lastly, the president of the United States has -- has led with a steady hand and clear vision.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,224.24,231.84,clip_20
21,21,21,22575,"Governor Romney, the opposite.",2,38_2012,21,21,3526,3557,,"{""Claim"": 5, ""O"": 1}",Claim,"Governor Romney, the opposite.",BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,231.84,233.6,clip_21
22,22,22,22576,The last thing we need now is another war.,2,38_2012,22,22,3557,3600,,"{""Claim"": 9, ""O"": 1}",Claim,The last thing we need now is another war.,BIDEN,Candidate,TRAIN,11 Oct 2012,2012,Joseph(Joe) R. Biden,Claim,233.6,236.64,clip_22
23,23,23,22577,RYAN: We mourn the loss of these four Americans who were murdered.,4,38_2012,0,0,3630,3697,,"{""O"": 14}",O, We mourn the loss of these four Americans who were murdered.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,O,240.4,244.8,clip_23
24,24,24,22578,"RYAN: When you take a look at what has happened just in the last few weeks, they sent the U.N. ambassador out to say that this was because of a protest and a YouTube video.",5,38_2012,0,0,3698,3871,,"{""O"": 3, ""Premise"": 35}",Premise," When you take a look at what has happened just in the last few weeks, they sent the U.N. ambassador out to say that this was because of a protest and a YouTube video.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,244.8,254.48,clip_24
25,25,25,22579,It took the president two weeks to acknowledge that this was a terrorist attack.,5,38_2012,1,1,3871,3952,,"{""Premise"": 14, ""O"": 1}",Premise,It took the president two weeks to acknowledge that this was a terrorist attack.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,254.48,259.96,clip_25
26,26,26,22580,He went to the U.N. and in his speech at the U.N. he said six times -- he talked about the YouTube video.,5,38_2012,2,2,3952,4058,,"{""Premise"": 23, ""O"": 1}",Premise,He went to the U.N. and in his speech at the U.N. he said six times -- he talked about the YouTube video.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,259.96,265.28,clip_26
27,27,27,22581,"Look, if we're hit by terrorists we're going to call it for what it is, a terrorist attack.",5,38_2012,3,3,4059,4151,,"{""O"": 3, ""Claim"": 20}",Claim,"Look, if we're hit by terrorists we're going to call it for what it is, a terrorist attack.",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,265.28,271.44,clip_27
28,28,28,22582,Our ambassador in Paris has a Marine detachment guarding him.,5,38_2012,4,4,4151,4213,,"{""Premise"": 10, ""O"": 1}",Premise,Our ambassador in Paris has a Marine detachment guarding him.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,271.44,274.72,clip_28
29,29,29,22583,"Shouldn't we have a Marine detachment guarding our ambassador in Benghazi, a place where we knew that there was an Al Qaida cell with arms?",5,38_2012,5,5,4213,4353,,"{""Premise"": 28}",Premise,"Shouldn't we have a Marine detachment guarding our ambassador in Benghazi, a place where we knew that there was an Al Qaida cell with arms?",RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Premise,274.72,287.08,clip_29
30,30,30,22584,This is becoming more troubling by the day.,5,38_2012,6,6,4354,4398,,"{""Claim"": 8, ""O"": 1}",Claim,This is becoming more troubling by the day.,RYAN,Candidate,TRAIN,11 Oct 2012,2012,Paul D. Ryan,Claim,287.08,289.4,clip_30
