,Unnamed: 0,Unnamed: 0.1,Text,Part,Document,Order,Sentence,Start,End,Annotator,Tag,Component,Speech,Speaker,SpeakerType,Set,Date,Year,Name,MainTag,NewBegin,NewEnd,idClip
0,0,6024,PALIN: Nice to meet you.,1,34_2008,0,0,1102,1127,,"{""O"": 7}",O, Nice to meet you.,PALIN,Candidate,TRAIN,02 Oct 2008,2008,Sarah L. Palin,O,63.76,64.24,clip_0
1,1,6025,BIDEN: It's a pleasure.,2,34_2008,0,0,1128,1152,,"{""O"": 7}",O, It's a pleasure.,BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,O,64.24,65.44,clip_1
2,2,6026,"PALIN: Hey, can I call you Joe?",3,34_2008,0,0,1153,1185,,"{""O"": 10}",O," Hey, can I call you Joe?",PALIN,Candidate,TRAIN,02 Oct 2008,2008,Sarah L. Palin,O,65.44,66.32,clip_2
3,3,6027,BIDEN: (OFF-MIKE),4,34_2008,0,0,1186,1204,,"{""O"": 5}",O, (OFF-MIKE),BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,O,66.32,67.08,clip_3
4,4,6028,"PALIN: Thank you.Thank you, Gwen.",5,34_2008,0,0,1205,1239,,"{""O"": 8}",O," Thank you.Thank you, Gwen.",PALIN,Candidate,TRAIN,02 Oct 2008,2008,Sarah L. Palin,O,67.08,67.72,clip_4
7,7,6031,"BIDEN: Let me begin by thanking you, Gwen, for hosting this.And, Governor, it's a pleasure to meet you, and it's a pleasure to be with you.I think it's neither the best or worst of Washington, but it's evidence of the fact that the economic policies of the last eight years have been the worst economic policies we've ever had.",7,34_2008,0,0,1761,2089,,"{""O"": 36, ""Claim"": 36}",O," Let me begin by thanking you, Gwen, for hosting this.And, Governor, it's a pleasure to meet you, and it's a pleasure to be with you.I think it's neither the best or worst of Washington, but it's evidence of the fact that the economic policies of the last eight years have been the worst economic policies we've ever had.",BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,Mixed,121.44,137.4,clip_7
8,8,6032,"As a consequence, you've seen what's happened on Wall Street.If you need any more proof positive of how bad the economic theories have been, this excessive deregulation, the failure to oversee what was going on, letting Wall Street run wild, I don't think you needed any more evidence than what you see now.So the Congress has been put -- Democrats and Republicans have been put in a very difficult spot.",7,34_2008,1,1,2089,2494,,"{""O"": 48, ""Claim"": 31}",O,"As a consequence, you've seen what's happened on Wall Street.If you need any more proof positive of how bad the economic theories have been, this excessive deregulation, the failure to oversee what was going on, letting Wall Street run wild, I don't think you needed any more evidence than what you see now.So the Congress has been put -- Democrats and Republicans have been put in a very difficult spot.",BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,Mixed,137.4,159.8,clip_8
9,9,6033,But Barack Obama laid out four basic criteria for any kind of rescue plan here.,7,34_2008,2,2,2494,2574,,"{""O"": 2, ""Claim"": 14}",Claim,But Barack Obama laid out four basic criteria for any kind of rescue plan here.,BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,Claim,159.8,168.0,clip_9
10,10,6034,"He, first of all, said there has to be oversight.",7,34_2008,3,3,2574,2624,,"{""Premise"": 7, ""O"": 6}",Premise,"He, first of all, said there has to be oversight.",BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,Premise,168.0,169.92,clip_10
11,11,6035,We're not going to write any check to anybody unless there's oversight for the -- of the secretary of Treasury.,7,34_2008,4,4,2624,2736,,"{""O"": 23}",O,We're not going to write any check to anybody unless there's oversight for the -- of the secretary of Treasury.,BIDEN,Candidate,TRAIN,02 Oct 2008,2008,Joseph(Joe) R. Biden,O,169.92,174.24,clip_11
